track_id,track_name,artist_names
1auxYwYrFRqZP7t3s7w4um,Ni**as In Paris,"JAY-Z, Kanye West"
5sNESr6pQfIhL3krM8CtZn,Numb / Encore,"JAY-Z, Linkin Park"
7LR85XLWw2yXqKBSI5brbG,Run This Town,"JAY-Z, Rihanna, Kanye West"
7r6PigmGzlB3YPB7wvBBbi,No Church In The Wild,"JAY-Z, Kanye West, Frank Ocean, The-Dream"
6JFLZH9vCzgqnUToBdiHQb,Gotta Have It,"JAY-Z, Kanye West"
14I61w6cyYUHiV2n28IYdP,Otis,"JAY-Z, Kanye West, Otis Redding"
1gT5TGwbkkkUliNzHRIGi1,4:44,JAY-Z
4bDPr2VAjcfgUDmN9dGOC3,Why I Love You,"JAY-Z, Kanye West, Mr Hudson"
5ljCWsDlSyJ41kwqym2ORw,03' Bonnie & Clyde,"JAY-Z, Beyoncé"
4QNpBfC0zvjKqPJcyqBy9W,Give Me Everything (feat. Nayer),"Pitbull, AFROJACK, Ne-Yo, Nayer"
2bJvI42r8EF3wxjOuDav4r,Time of Our Lives,"Pitbull, Ne-Yo"
34ceTg8ChN5HjrqiIYCn9Q,Miss Independent,Ne-Yo
6brl7bwOHmGFkNw3MBqssT,So Sick,Ne-Yo
6CFPFnS9EcLs2I0nWqtWci,Because Of You,Ne-Yo
6Hn9Uc1mMNfqChXU3txNke,Mad,Ne-Yo
0GX5oOKtU0nnx5OkhenW2i,Closer,Ne-Yo
2te3FQWKlJe5NIt7MtQxkw,She Knows,"Ne-Yo, Juicy J"
10aWGOqSDBqvNzJ9NeKDbK,Sexy Love,Ne-Yo
0bgMyJHuzm1aHy6JQG4BQ6,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo
4TFNKnMWjcMWzpkSwQrrcu,Le Pido a DIOS,"Feid, DJ Premier"
3TPvrMAd1hbPRXuHCRX0Pl,AEAO,"Dynamicduo, DJ Premier"
2r69qGRkyBwiDQVDTXVUer,Plaza Con Prada,DJ Premier
14246VCxRDGZHqlMlqWSz4,Wave Gods,"Nas, A$AP Rocky, DJ Premier"
5Wt2UAS92w2ZyDqX2dOEBg,Getcha Groove On - Dirt Road Mix,"Limp Bizkit, Xzibit, DJ Premier"
57pOyrIbZjxLqRbME7haSW,Together,"Chance the Rapper, DJ Premier"
4LDx21eeTurv7b1slX4rFl,Define My Name,"Nas, DJ Premier"
170RXtnRc5XmRfmpwrN0m5,"Million Pieces (feat. Teyana Taylor, Larry June & DJ Premier)","Big Sean, Teyana Taylor, DJ Premier"
5HyHWMxu2qIgzOyVcqsWPf,AEAO (Sped Up),"Dynamicduo, DJ Premier"
3VymabYos1p2fXzmk0cPKg,Work This Out,"DJ Premier, Russ"
30Abx6gxdPaycqNUilFB06,I Am Your Woman,Syleena Johnson
3qYnvqzBaEO1fdNYyjX5JD,Guess What,Syleena Johnson
24PK3rOEmrbRcHCI0hNc8s,More (feat. Anthony Hamilton),"Syleena Johnson, Anthony Hamilton"
2IaZ13ljusQXsOmvzFNS2D,Baby I'm So Confused,Syleena Johnson
13V3drv9UkKEpQHauPIMJh,Hypnotic (feat. R.Kelly & Fabolous),"Syleena Johnson, R. Kelly, Fabolous"
4NPblAIjlTY6aQdVKJNNUD,Hit On Me,Syleena Johnson
0G0NLDHCMcSjnPEeaH8YcQ,Tonight I'm Gonna Let Go,Syleena Johnson
0mGKRZQz3uENGLjEhXbsSr,Silent Night,"Syleena Johnson, KeKe Wyatt, Kenny Lattimore"
3vjbj7WoYbbS94r4VMLU18,Black Balloon,"Syleena Johnson, Syl Johnson"
33hhCsDbgCe9kXnmPciqOn,Slowly,Syleena Johnson
4OssqCixV2Xsxd43wMIQyS,CARNIVAL,"¥$, Kanye West, Ty Dolla $ign"
7vv89PswQvqGKCGJ1rw5on,FIELD TRIP,"¥$, Kanye West, Ty Dolla $ign"
38BgRP0EX5p0sBj0fFhqN9,BURN,"¥$, Kanye West, Ty Dolla $ign"
4eIYnlcgI2chjQBuW1VRr7,FUK SUMN,"¥$, Kanye West, Ty Dolla $ign"
6bSfeCXlUaGa3eWCy5qPTb,PROMOTION,"¥$, Kanye West, Ty Dolla $ign"
2tPNj9sUt3FbjEUqBzZazv,530,"¥$, Kanye West, Ty Dolla $ign"
5d4XWuMLbTuPMTPaMYA0VG,BACK TO ME,"¥$, Kanye West, Ty Dolla $ign"
5iroQL70VoSFrC8ZhVnskA,DO IT,"¥$, Kanye West, Ty Dolla $ign"
5MGMXOhVvwzCjFgdQsFokR,SLIDE,"¥$, Kanye West, Ty Dolla $ign"
1LaTWJ35Atk7Esoqxdb1WG,STARS,"¥$, Kanye West, Ty Dolla $ign"
4AiGz7pTyLXBHjniRuioaw,Starships,Nicki Minaj
2iVpUQJaQjOWGja05zyIj9,AGATS2 (Insecure) [with Nicki Minaj],"Juice WRLD, Nicki Minaj"
0puf9yIluy9W0vpMEUoAnN,Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj"
3hlksXnvbKogFdPbpO9vel,Super Bass,Nicki Minaj
0dKg2vGC1hFqcK5LGTaKzX,Tusa,"KAROL G, Nicki Minaj"
58w5J5yNWeGZ7a4cM1rO7Y,Swalla (feat. Nicki Minaj & Ty Dolla $ign),"Nicki Minaj, Ty Dolla $ign"
2yjlYDiNiQkdxVqTlaSrlX,Super Freaky Girl,Nicki Minaj
741UUVE2kuITl0c6zuqqbO,Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Ice Spice"
1a73gcEg6h6Re6hHXoVltJ,FTCU,Nicki Minaj
75u9uswC5UMdtv4SQ3xSYf,The Night Is Still Young,Nicki Minaj
5TXDeTFVRVY7Cvt0Dw4vWW,Revenge,XXXTENTACION
4jvjzW7Hm0yK4LvvE0Paz9,Falling Down - Bonus Track,"Lil Peep, XXXTENTACION"
7AQim7LbvFVZJE3O8TYgf2,Fuck Love,"XXXTENTACION, Trippie Redd"
2ZRo7axmMPeSVUvDbGkJah,Hope,XXXTENTACION
0JP9xo3adEtGSdUEISiszL,Moonlight,XXXTENTACION
3GVkPk8mqxz0itaAriG1L7,Everybody Dies In Their Nightmares,XXXTENTACION
7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,XXXTENTACION
3ee8Jmje8o58CHK66QrVC2,SAD!,XXXTENTACION
7floNISpH8VF4z4459Qo18,Look At Me!,XXXTENTACION
5de9Ho64dovuQI8Uhn5gPD,I Don't Wanna Do This Anymore,XXXTENTACION
4pvb0WLRcMtbPGmtejJJ6y,exile (feat. Bon Iver),"Taylor Swift, Bon Iver"
4k7x3QKrc3h3U0Viqk0uop,Rosyln,"Bon Iver, St. Vincent"
3B3eOgLJSqPEA0RfboIQVM,Skinny Love,Bon Iver
2LXtyj95dK56ENS1QLt4IB,Beach Baby,Bon Iver
3WFsgPXDeNbrV63g6Ua8yv,evermore (feat. Bon Iver),"Taylor Swift, Bon Iver"
05qoJ1JUl7LJxB6kp24DSP,S P E Y S I D E,Bon Iver
4Zj2uX6ApCFK9XzjwIhCIr,Boys Of Faith (feat. Bon Iver),"Zach Bryan, Bon Iver"
7rIhp6EWLNtM8qFIQruJPT,Wash.,Bon Iver
2nilAlGEZmwyaLTMMyDdLo,For Emma,Bon Iver
35KiiILklye1JRRctaLUb4,Holocene,Bon Iver
5ry2OE6R2zPQFDO85XkgRb,Money In The Grave (Drake ft. Rick Ross),"Drake, Rick Ross"
3Vg7nPYlOrCkcV1abKbRQ1,Everyday Hustle,"Future, Metro Boomin, Rick Ross"
5W7xC99N2Zzfh69r7I7zWK,Aston Martin Music,"Rick Ross, Drake"
0nq6sfr8z1R5KJ4XUk396e,Stay Schemin,"Rick Ross, French Montana, Drake"
3hQCHzkE5oSA3F1xM8bpcM,Hustlin',Rick Ross
6JyuJFedEvPmdWQW0PkbGJ,Purple Lamborghini (with Rick Ross),Rick Ross
50ceCGZ3oD3U5caQV5bP6f,You Only Live Twice (with Lil Wayne & Rick Ross),"Drake, Lil Wayne, Rick Ross"
55E78MhBGQ4IPZcQ3R5BAH,Here I Am,"Rick Ross, Nelly"
2sOj9vyd6yiss9W1IK6chU,"GOD DID (feat. Rick Ross, Lil Wayne, Jay-Z, John Legend & Fridayy)","DJ Khaled, Rick Ross, Lil Wayne, JAY-Z, John Legend"
15NQ3x1f2GUhqs8oBXhTqp,Scottie Beam,"Freddie Gibbs, Rick Ross"
2LskIZrCeLxRvCiGP8gxlh,Arms Around You (feat. Maluma & Swae Lee),"XXXTENTACION, Lil Pump, Swae Lee, Maluma"
4S8d14HvHb70ImctNgVzQQ,I Love It (& Lil Pump),"Kanye West, Lil Pump"
5mqzhMuUpvnMfwNz6iepmO,"Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) - from Deadpool 2","Diplo, French Montana, Lil Pump, Zhavia"
1E39KEleLbU1v1cawR6jSc,Coronao Now,"El Alfa, Lil Pump"
43ZyHQITOjhciSUUNPVRHc,Gucci Gang,Lil Pump
0uh4uwRocrp2lJICazcq1V,Coração De Pedra,"Lil Pump, Kew"
3ftB5T412JJ20IgpQgeCW8,YUMMY!,"Lil Pump, Mateo on the Beatz"
31gUUwByx4pmnA8KAFkhhH,Esskeetit,Lil Pump
1rsAFUCa6BVMgRQ3FCQQsi,Boss,Lil Pump
08B8heF08g59b3CzC5sKEd,Coronao Now - Remix,"El Alfa, Lil Pump"
5fEB6ZmVkg63GZg9qO86jh,Break from Toronto,PARTYNEXTDOOR
35sZOqVnTQNIGWGURrFdLh,Dreamin,PARTYNEXTDOOR
12VH4g5pTMZmrUVzfJq7F7,M a k e I t T o T h e M o r n i n g,PARTYNEXTDOOR
5c3luoCub1Z1Gg74NdNtuq,Belong to the City,PARTYNEXTDOOR
1zhMHgotgZXkLCXpqNRnPK,N o C h i l l,PARTYNEXTDOOR
236P5yLtfnHgTMxevc0q6F,TBH,PARTYNEXTDOOR
3JEJwjqLkg2Jbau5922CAb,Her Way,PARTYNEXTDOOR
0NHvTrD8Igke3fawcp3njY,Wus Good / Curious,PARTYNEXTDOOR
2d93r7U06Wx7uJfU2q9Nza,F o r C e r t a i n,PARTYNEXTDOOR
6cEguiQecbXrFlsnMi2ysr,Come and See Me (feat. Drake),"PARTYNEXTDOOR, Drake"
3TkNsftUBh8dwwLUHpmYNC,Find A Way,Dwele
1TlEEopIktdAi8oWRf9Qx6,I Think I Love You,Dwele
4l1CuxaEzk15o3g6bn7lZU,Open Your Eyes,Dwele
1i8XHUZkVdoOCfFumL0Zqt,Truth,Dwele
6Qvpa87llLt3iEvZ3QiPd1,Hold On - Remix,"Dwele, Kanye West, Consequence"
3E1bgAwE9veLugVplEMr4l,Weekend Love,Dwele
3sDeuisFRzTK7dfwlNvoNK,A.N.G.E.L. - Interlude,Dwele
2x8piiRILuyAArjRvkoT4p,I'm Cheatin',Dwele
4RRg9Ysz3eyK1qBhLVSzUT,Hold On,Dwele
22trBA9vWZ8DbkbHXurG78,What's Not To Love,Dwele
0JmGVy7IzUM27My3UuEOOZ,Knock You Down,"Keri Hilson, Kanye West, Ne-Yo"
6gYYdIpoanMh7Eo3fDpJn7,Pretty Girl Rock,Keri Hilson
6YyL7wKVozxjgx5E0bX1Bw,I Like - Jost & Grubert Radio Mix,Keri Hilson
1Ne9ZxBhUGwRVLHxzr7SnD,Energy,Keri Hilson
5FmozEXMXttaTyrjtxuLoS,Turnin Me On - Original Clean,"Keri Hilson, Lil Wayne"
3xIaCgcdyg6pD3ejklQ3wZ,One Night Stand,"Keri Hilson, Chris Brown"
5lktwVxtFhaz7UA6iPbxrG,Slow Dance,Keri Hilson
4ymZUCAf5qTenKxeOfRSB5,Lose Control / Let Me Down,Keri Hilson
2YUSd1OXRVIHk9fuJ6SPbr,Buyou,"Keri Hilson, J. Cole"
1jN25LnXNSIW4GK6qfii9W,Make Love,Keri Hilson
1SV1fxF65n9NhRHp3KlBuu,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney
78TTtXnFQPzwqlbtbwqN0y,FourFiveSeconds,"Rihanna, Kanye West, Paul McCartney"
1H4idkmruFoJBg1DvUv2tY,Band On The Run - 2010 Remaster,"Paul McCartney, Wings"
1db0gbTSKdRQum8VlbNkiO,Say Say Say - Remastered 2015,"Paul McCartney, Michael Jackson"
2cHbN7OosXb4pA20G9Jcyg,Live And Let Die - Main Title,"Paul McCartney, Wings"
1Qa0Y05al633fG8f9Peytc,Maybe I’m Amazed - Remastered 2011,Paul McCartney
4UoPux0RniULIV6eFrNphL,Wonderful Christmastime - Full Length Version / Remastered 2011,Paul McCartney
28kOGtTZzbfQ8fMmTwjRFq,The Kiss Of Venus (Dominic Fike),"Paul McCartney, Dominic Fike"
5SwgE4wA0P7f6AEz2UQMB2,Uncle Albert / Admiral Halsey - Medley / 2012 Remaster,"Paul McCartney, Linda McCartney"
3oevkC3HQ2sxTwJ394MROY,My Love,"Paul McCartney, Wings"
7dltD9eEX7X1zk8JJ9BS0e,Superstar (feat. Matthew Santos),"Lupe Fiasco, Matthew Santos"
4NTWZqvfQTlOMitlVn6tew,The Show Goes On,Lupe Fiasco
1hWYT0w2R0J19rlVkiez7X,Battle Scars (with Guy Sebastian),"Lupe Fiasco, Guy Sebastian"
6nz35DNIzbtj5ztpDEcW1j,"Kick, Push",Lupe Fiasco
50M2QjfSM82wkJ1d0iV4mh,Daydreamin' (feat. Jill Scott),"Lupe Fiasco, Jill Scott"
0wJw5QXDKXTYn8IVyh3wqz,Samurai,Lupe Fiasco
2dXME00xUY1CRcMZsM3Y4q,"Paris, Tokyo",Lupe Fiasco
6N3oYlfZ2RPdjMYdHCRmFS,Hip-Hop Saved My Life (feat. Nikki Jean),"Lupe Fiasco, Nikki Jean"
1ZiCTRaAxZBf0GoiGhkiRp,Cake,Lupe Fiasco
1SKtsG3EsJw75hNMRrCgLm,No. 1 Headband,Lupe Fiasco
0oKPOxrcUkvJ8YVaV79qE8,Misfit Toys (from the series Arcane League of Legends),"Pusha T, Mako, League of Legends"
3YqJ0iaDWM0aqEDQExd2j3,Don't Like.1,"Kanye West, Pusha T, Big Sean"
650OeHTLxZAQmb4aEbGmaA,Good Goodbye (feat. Pusha T and Stormzy),"Linkin Park, Pusha T"
7aK5rlTVxSgcqShPMI1TTH,Nosetalgia,"Pusha T, Kendrick Lamar"
3Wx98ijEDnsxyMYePCuFNI,Dreamin Of The Past (feat. Kanye West),"Pusha T, Kanye West"
3DzlR0kXE6shimFVhSwI4A,Trouble on My Mind,"Pusha T, Tyler, The Creator"
671XaUBmifTMXDbZK5CB1M,Mercy.1,"Kanye West, Big Sean, Pusha T, 2 Chainz"
7iEoaTyBCqLaAwJnOP1BTn,The Games We Play,Pusha T
1dp8aQANyTRKssDeAYPiZe,Scrape It Off (feat. Lil Uzi Vert & Don Toliver),"Pusha T, Lil Uzi Vert, Don Toliver"
2qDTVDLjK4PctCvC8Mg19x,Diet Coke,Pusha T
7eBqSVxrzQZtK2mmgRG6lC,Murder on My Mind,YNW Melly
1iSqfoUFnQwV0QW1EfUit8,Suicidal,YNW Melly
29ZXwWOOLz9t5fa3eT3i7T,223's (feat. 9lokknine),"YNW Melly, 9lokknine"
4S2uhQE8L9V6p7rj7SiauJ,Suicidal (feat. Juice WRLD) - Remix,"YNW Melly, Juice WRLD"
230wNo1dnexltKYQbsW7oD,772 Love,YNW Melly
2fSW54bA6x2iWePU7rpCiP,Mama Cry,YNW Melly
6vWEAOUSxohKxhp0K1BsxL,Mixed Personalities (feat. Kanye West),"YNW Melly, Kanye West"
2TuG54cMutq4jDdjwFKzCF,Legendary,YNW Melly
4dqkKnzOJ3fWduqKcHi374,Virtual (Blue Balenciagas),YNW Melly
5U3MWICGoIVVIR1N8CdCgd,City Girls,YNW Melly
3A4cpTBPaIQdtPFb5JxtaX,Slow Jamz,"Twista, Kanye West, Jamie Foxx"
6zINdLAxmU6HXHP7gpvexi,Blame It (feat. T-Pain) - Club Mix,"Jamie Foxx, T-Pain"
6P2769Z4TC9TT1XL2yGzfh,Fly Love,Jamie Foxx
3aLbDGVIbZHUDjQXjfrvBP,The City's Yours,Jamie Foxx
4u9QsEY02G3bJZSWgBdiva,Unpredictable (feat. Ludacris) - Main,"Jamie Foxx, Ludacris"
0hRPRbA2B1CYmGNhWhFjwF,Fall For Your Type (feat. Drake),"Jamie Foxx, Drake"
3qKcYeDYspDlugWNQikTBI,I Don't Need Anything But You (2014 Film Version),"Jamie Foxx, Rose Byrne"
0JQ0F7iBZ3rIZaY9PTlBpT,Dearly Beloved (feat. Jamie Foxx),"Wale, Jamie Foxx"
2DIJwlL8hW3G0Q5woTFcA7,Just Like Me (feat. T.I.),"Jamie Foxx, T.I."
6za48riBTylMJHsf4AJPxK,You Changed Me (feat. Chris Brown),"Jamie Foxx, Chris Brown"
7lQ8MOhq6IN2w8EYcFNSUk,Without Me,Eminem
561jH07mF1jHuk7KlaeF0s,Mockingbird,Eminem
1CDQzbCz4KSQxHe7LMEgRM,Houdini,Eminem
3yfqSUWxFvZELEM4PmlwIR,The Real Slim Shady,Eminem
1v7L65Lzy0j0vdpRjJewt1,Lose Yourself,Eminem
7FIWs0pqAYbP91WWM0vlTQ,Godzilla (feat. Juice WRLD),"Eminem, Juice WRLD"
15JINEqzVMv3SvJTAXAKED,Love The Way You Lie,"Eminem, Rihanna"
4xkOaSrkexMciUUogZKVTS,Till I Collapse,"Eminem, Nate Dogg"
4woTEX1wYOTGDqNXuavlRC,Superman,"Eminem, Dina Rae"
3UmaczJpikHgJFyBTAJVoz,Stan,"Eminem, Dido"
3tFed7YsjGnIfxeLEQwx3R,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, Sexyy Red, Lil Wayne"
2KO54x4DIeHAYBdT7YjuBZ,Love Me,"Lil Wayne, Drake, Future"
5jnxxpX2834SB6LJ0S73Uz,Lollipop,Lil Wayne
4dASQiO1Eoo3RJvt74FtXB,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne, Wiz Khalifa, Imagine Dragons, Logic, Ty Dolla $ign"
5UsLjwBaTHBX4ektWIr4XX,Forever,"Drake, Kanye West, Lil Wayne, Eminem"
5hUYsaOyMY32yjRXeuQwGj,Mirror,"Lil Wayne, Bruno Mars"
3uqinR4FCjLv28bkrTdNX5,A Milli,Lil Wayne
7gihksIHhs6nw5tYlI6UEq,Mrs. Officer,Lil Wayne
0b4M7hd7mzLTm99MrMeZsp,She Will,"Lil Wayne, Drake"
39MK3d3fonIP8Mz9oHCTBB,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Metro Boomin, Swae Lee, Lil Wayne"
4OssqCixV2Xsxd43wMIQyS,CARNIVAL,"¥$, Kanye West, Ty Dolla $ign"
7t2bFihaDvhIrd2gn2CWJO,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix","Ty Dolla $ign, The Weeknd, Wiz Khalifa"
7vv89PswQvqGKCGJ1rw5on,FIELD TRIP,"¥$, Kanye West, Ty Dolla $ign"
5B0kgjHULYJhAQkK5XsMoC,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),"Tyler, The Creator, YoungBoy Never Broke Again, Ty Dolla $ign"
38BgRP0EX5p0sBj0fFhqN9,BURN,"¥$, Kanye West, Ty Dolla $ign"
6ZRuF2n1CQxyxxAAWsKJOy,Nights Like This (feat. Ty Dolla $ign),Ty Dolla $ign
58w5J5yNWeGZ7a4cM1rO7Y,Swalla (feat. Nicki Minaj & Ty Dolla $ign),"Nicki Minaj, Ty Dolla $ign"
4eIYnlcgI2chjQBuW1VRr7,FUK SUMN,"¥$, Kanye West, Ty Dolla $ign"
6bSfeCXlUaGa3eWCy5qPTb,PROMOTION,"¥$, Kanye West, Ty Dolla $ign"
6Hgh47WXVKtXN5zGOu0hjI,OTW,"Khalid, 6LACK, Ty Dolla $ign"
5xFBQINUfBawOGmqpwjRmQ,Electricity,Chris Martin
3MsEJbnW0SYWNzQ6D1j5Xm,Back on the Road (feat. Lil Wayne),"Cordae, Lil Wayne"
5lw8Mgb4LyhriPIC86gV6e,RNP (feat. Anderson .Paak),"Cordae, Anderson .Paak"
5XsAOpPWPJLrwC9sgtigTp,No Bad News (feat. Kanye West),"Cordae, Kanye West"
4UvkQecqZuZfQIJ2DZrZcR,Doomsday (with Juice WRLD & Cordae),"Lyrical Lemonade, Juice WRLD, Cordae"
5dPZ04EhmBOdLlyRtPLqEW,Summer Drop (feat. Anderson .Paak),"Cordae, Anderson .Paak"
7FET9gtiECWn7llt0sfvtU,CAREFUL,"NF, Cordae"
0wT5T8Cstp8XvJIWz7kCVn,Saturday Mornings (feat. Lil Wayne),"Cordae, Lil Wayne"
2F1ZkAKSpcdeqWkuTwpoGw,Syrup Sandwiches (feat. Joey Bada$$),"Cordae, Joey Bada$$"
7zl7kehxesNEo2pYkKXTSe,Killer (feat. Jack Harlow & Cordae) - Remix,"Eminem, Jack Harlow, Cordae"
3sEqwf47KfchaSkotA91Es,Mad as F*ck,Cordae
3A4cpTBPaIQdtPFb5JxtaX,Slow Jamz,"Twista, Kanye West, Jamie Foxx"
2tOZtdbkAMQASWokLvSlzj,Overnight Celebrity (feat. Miri Ben-Ari),"Twista, Miri Ben-Ari"
1boHm9rjmvzxpJASd9dnGK,Slow Jamz (feat. Kanye West & Jamie Foxx),"Twista, Kanye West, Jamie Foxx"
69Rq57lrGf5syykFBNi3g4,Hope,"Twista, Faith Evans"
5y8WWi1BaKHXfuln0XoIZs,Sunshine (feat. Anthony Hamilton),"Twista, Anthony Hamilton"
1RqV6dET5SZHKl8KbxnCtB,Wetter,Twista
7CisLSqtKbDw2VtpN6IuLw,Make A Movie,"Twista, Chris Brown"
4yBocB472ltALbHjm4qYYC,Adrenaline Rush,Twista
2vI6iYiRQMFopeohZ0rlJt,Next to You,"Twista, Jeremih"
7zIxcV689lVTl924lAf9Kn,Girl Tonite (feat. Trey Songz),"Twista, Trey Songz"
1zi7xx7UVEFkmKfv06H8x0,One Dance,"Drake, Wizkid, Kyla"
59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems),"Future, Drake, Tems"
6DCZcSspjsKoFjzjrWoCdn,God's Plan,Drake
5mCPDVBb16L4XQwDdbRUpz,Passionfruit,Drake
3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage"
1eroCliWpJrEu1V7VSObcO,Circadian Rhythm,Drake
1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),"Drake, Sexyy Red, SZA"
40iJIUlhi6renaREYGeIDS,Fair Trade (with Travis Scott),"Drake, Travis Scott"
6n3HGiq4v35D6eFOSwqYuo,Teenage Fever,Drake
1560osUcXrnov6yuOjXvc1,No Face,Drake
6qn9YLKt13AGvpq9jfO8py,We Found Love,"Rihanna, Calvin Harris"
5oO3drDxtziYU2H1X23ZIp,Love On The Brain,Rihanna
2ENexcMEMsYk0rVJigVD3i,Only Girl (In The World),Rihanna
49FYlytm3dAAraYgpoJZux,Umbrella,"Rihanna, JAY-Z"
4zzzZ1UNfr75ASG1lUE9L1,Stay,"Rihanna, Mikky Ekko"
7ySUcLPVX7KudhnmNcgY2D,S&M,Rihanna
0ByMNEPAPpOR5H69DVrTNy,Don't Stop The Music,Rihanna
7i0jaBLpIADxqNbhAb4XFb,Diamonds,Rihanna
46aZJc0z1HHHSFxaIRxYSP,Breakin' Dishes,Rihanna
4pAl7FkDMNBsjykPXo91B3,Needed Me,Rihanna
3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend
4hnzXzE7JiU5QAZFF9OUsI,What Christmas Means to Me (feat. Stevie Wonder),John Legend
0vH52Icuf6LzOFrkHE8mZG,Minefields,John Legend
3iYY2B9JxWt8TgzD06epj4,Beauty and the Beast,"Ariana Grande, John Legend"
0YFqKxV9uNu6LUeYkLOKRS,On Time (with John Legend),"Metro Boomin, John Legend"
3KBI0Hji14pyi1ww1B1v55,Bring Me Love,John Legend
2ZA4uMlSZjaoWGFqP1tsLI,Ordinary People,John Legend
0cBCE4fJztY5LcB6P7P2io,"Baby, It's Cold Outside (feat. Kelly Clarkson)",John Legend
2ZAEbbKPNf1Wv1fifB2nyd,You Deserve It All,John Legend
6nxQdXa1uAL0rY72wPZu89,Love Me Now,John Legend
5vjWLmCWTiZjaKu1OE1OVn,bad side,FLANNEL ALBERT
5ynpnoQwlVxu0qEFrPB95A,Darker Liquor,FLANNEL ALBERT
5kGDJsBv7KUG5VFQKhtw3e,Darker Liquor - Remix,FLANNEL ALBERT
0wmbD046JLpP3JAYRxOhnc,Asian Glow,FLANNEL ALBERT
6UBZEqoCCJli1F4BB56lRB,Sumthin',FLANNEL ALBERT
5hmV6G6bEF6g0ASQ6JLf7g,Aok,FLANNEL ALBERT
6ePiviZvxg2pEVymRvIwx6,How Bout Now (Remix),FLANNEL ALBERT
16cg48Ldfc5Ts5aZUeuFR4,FOLLOW US,FLANNEL ALBERT
65KwBg2A1z0PfSC1TsSMn8,THE BILL,FLANNEL ALBERT
2ABBYxOPoF6CyshCidWWy3,Let Go,FLANNEL ALBERT
1GaTPHLEqyPjh016lIdUQo,在晴朗的日子裡歌唱,"孟慧圓, 謝春花, 陳意涵, 蔣明希, 仰昭光, 駿聲, 愛新覺羅媚"
0whvlq5itiG6JNCtPoPG82,Infamous,"Mariah Carey, Jussie Smollett"
5P1s2xE1NYBbOZ0OtYJU02,Hurt People,Jussie Smollett
0Qs2jnoDeeRtBI813mWCfw,Ha Ha (I Love You),Jussie Smollett
5qTVqevrGXKJ5JuotGx8Ae,My Party,Jussie Smollett
254rrNO9LTgdiSA2X9ffD9,Freedom,Jussie Smollett
4pjykcysH0MpKH0pYJMZze,My Mind,Jussie Smollett
4UGYZvr3rhStCUvsFKpGuC,F.U.W.,Jussie Smollett
5uNLqjp0PuOrP6cM9sW40g,Catch Your Eye,"Jussie Smollett, Swizz Beatz"
22qFErclgxKXMjEmil2Ila,What I Would Do,Jussie Smollett
71LKENjG6VryBAQyeXM5EC,Some Things,Jussie Smollett
1dXivQjVkgLUytJ7PGdlod,What's Gonna Happen,Sarah Stiles
6CB3a4KYeRpkQ5KKsyGtAX,What's Gonna Happen - Reprise,Sarah Stiles
7J7Gxp2X2KUH2Iclv6xo40,I Can't Imagine,Sarah Stiles
2mdjmb1QuOji6rNe4hBYSB,I Don't Wanna Miss a Thing,Sarah Stiles
5R0jH9tabIRUuJscrtWqEE,An Organized Life,Sarah Stiles
0zZLcInGdX22Xe103kQq9V,The Same Old Music,Sarah Stiles
1rt1tWjqiiRFM8nkqa3iUu,The Argument,Sarah Stiles
2nfBEYEvSIbwre9JqqA9t3,Simple Song of Love (The La La Song),Sarah Stiles
7vSArOlg4aYwzHJipwgbHW,Setting Your Sights (Reflections),Sarah Stiles
1YrDuZ2r8Zc06DcbgJxKe5,Setting Your Sights (City Limits),Sarah Stiles
1GaTPHLEqyPjh016lIdUQo,在晴朗的日子裡歌唱,"孟慧圓, 謝春花, 陳意涵, 蔣明希, 仰昭光, 駿聲, 愛新覺羅媚"
3IXtbkBmnpLnK2Jr7SVwF4,Je t'aime,仰昭光
4N6wJ5eEaVY4iZqXgRzYoa,It's too late,仰昭光
1yoXfV6BMWcRfg3fOqhZ7x,Don't go,仰昭光
13VnEIi6Kwf6nUNNFpmxF1,關於你我 (feat. 范知林),仰昭光
4p48DaKYi1QKQFyEOBXPw1,愛情骨灰盒,仰昭光
6yKk3BoX1Sfg27CN8yOabt,零分卷,仰昭光
0E7Yx4p6s28Yjj0SPxASm8,她看不見,仰昭光
45kwBZyLxTn0lDLIoXCjXP,Why u lie to me,仰昭光
